Date,Open,High,Low,Close,Volume,Adj Close
2008-12-08,54.00,55.50,53.80,55.50,5106900,47.05
2008-12-05,52.75,53.45,52.30,53.45,2647000,45.31
2008-12-04,52.80,53.20,51.70,52.30,3637900,44.34
2008-12-03,53.10,54.00,52.90,52.90,2882300,44.84
2008-12-02,53.80,53.80,52.10,53.30,5286200,45.18
2008-12-01,54.20,54.95,54.00,54.90,3717400,46.54
2008-11-28,53.00,55.00,53.00,55.00,3184900,46.62
2008-11-27,54.80,54.90,53.50,53.70,5410700,45.52
2008-11-26,52.60,54.80,51.80,54.80,5735700,46.45
2008-11-25,51.50,53.30,51.50,52.80,6281600,44.76
2008-11-24,51.65,53.00,51.00,51.80,3734100,43.91
2008-11-21,50.25,54.25,50.25,52.15,6967600,44.21
2008-11-20,52.90,52.90,50.50,51.20,10790100,43.40
2008-11-19,51.35,53.95,51.35,52.80,4853700,44.76
2008-11-18,53.35,54.00,51.05,51.50,5032500,43.66
2008-11-17,53.65,54.55,52.60,52.90,3698100,44.84
2008-11-14,51.70,52.90,51.40,52.85,3646300,44.80
2008-11-13,52.20,52.80,50.90,51.70,7033700,43.83
2008-11-12,54.30,55.95,53.05,53.75,4975600,45.56
2008-11-11,54.85,56.00,53.50,54.00,4392500,45.78
2008-11-10,55.70,56.25,53.90,54.85,4810400,46.50
2008-11-07,52.40,55.30,52.40,55.30,5881500,46.88
2008-11-06,52.50,53.30,51.10,53.30,5928800,45.18
2008-11-05,56.60,56.60,51.20,52.50,6555800,44.51
2008-11-04,54.35,55.00,52.40,54.40,4054100,46.12
2008-11-03,53.10,55.50,52.90,54.55,6028100,46.24
2008-10-31,53.70,53.80,51.00,52.00,5824600,44.08
2008-10-30,50.20,55.00,50.00,55.00,7670800,46.62
2008-10-29,50.00,52.50,49.10,50.40,7368300,42.72
2008-10-28,43.00,50.00,43.00,50.00,11314700,42.39
2008-10-27,49.50,50.50,41.65,42.85,11131400,36.32
2008-10-24,53.00,53.65,49.35,50.00,8043100,42.39
2008-10-23,53.95,54.05,52.70,53.30,8126800,45.18
2008-10-22,55.30,55.80,52.45,54.45,6851100,46.16
2008-10-21,54.90,56.00,53.00,54.90,5566900,46.54
2008-10-20,53.70,56.00,53.50,56.00,6252400,47.47
2008-10-17,53.50,54.45,53.00,53.65,9730600,45.48
2008-10-16,53.00,53.80,50.30,52.60,9948200,44.59
2008-10-15,55.00,55.45,53.00,53.00,10384600,44.93
2008-10-14,58.25,58.25,55.30,55.30,12897600,46.88
2008-10-13,55.40,59.00,53.00,59.00,8725000,50.02
2008-10-10,57.50,57.90,54.00,56.00,13438400,47.47
2008-10-09,61.60,61.60,60.30,60.55,8650000,51.33
2008-10-08,61.00,62.30,60.30,60.30,13490500,51.12
2008-10-07,63.60,63.60,63.60,63.60,000,53.91
2008-10-06,62.50,64.00,61.55,63.60,6897700,53.91
2008-10-03,64.50,64.50,62.55,62.75,4506700,53.19
2008-10-02,64.00,64.80,61.60,64.20,7545000,54.42
2008-10-01,62.35,62.35,62.35,62.35,000,52.86
2008-09-30,59.50,63.00,59.40,62.35,12467900,52.86
2008-09-29,60.90,61.50,59.70,59.90,5442300,50.78
2008-09-26,61.85,62.00,61.35,61.55,5729900,52.18
2008-09-25,61.30,62.15,61.25,61.50,3799400,52.13
2008-09-24,61.85,63.00,61.30,61.30,5948200,51.96
2008-09-23,60.00,63.10,60.00,61.20,7861800,51.88
2008-09-22,60.50,61.00,60.20,60.65,7693300,51.41
2008-09-19,60.00,60.40,59.10,60.00,11572100,50.86
2008-09-18,62.00,62.20,60.30,61.00,12118300,51.71
2008-09-17,63.35,63.60,61.70,62.50,5385300,52.98
2008-09-16,62.60,63.95,61.60,63.00,7067500,53.41
2008-09-15,64.70,64.70,64.70,64.70,000,54.85
2008-09-12,65.00,65.60,63.65,64.70,5385900,54.85
2008-09-11,65.00,65.00,64.15,64.30,6529200,54.51
2008-09-10,64.80,65.70,64.40,64.45,4414500,54.64
2008-09-09,65.85,66.35,65.60,65.70,5169300,55.69
2008-09-08,66.50,66.50,65.00,65.80,4640000,55.78
2008-09-05,63.80,65.80,62.75,65.20,9563800,55.27
2008-09-04,62.60,64.30,62.60,63.35,4461900,53.70
2008-09-03,63.00,63.10,61.90,62.60,4546600,53.07
2008-09-02,61.65,63.60,61.65,63.60,9493300,53.91
2008-09-01,62.50,62.50,61.30,61.65,4832700,52.26
2008-08-29,64.80,64.85,62.20,63.50,15941400,53.39
2008-08-28,65.60,66.30,65.35,65.85,2375500,55.36
2008-08-27,66.50,67.00,65.75,65.90,3079100,55.41
2008-08-26,66.70,66.90,65.90,66.90,3226500,56.25
2008-08-25,67.00,68.00,66.20,67.00,5119900,56.33
2008-08-22,66.05,66.05,66.05,66.05,000,55.53
2008-08-21,68.00,68.00,66.05,66.05,3848500,55.53
2008-08-20,67.50,68.00,66.80,68.00,3158600,57.17
2008-08-19,66.95,67.50,66.00,66.70,2765900,56.08
2008-08-18,66.05,66.55,65.55,66.50,3848600,55.91
2008-08-15,66.58,66.58,66.58,66.58,000,55.98
2008-08-14,67.89,67.89,67.89,67.89,000,57.08
2008-08-13,67.51,67.51,67.51,67.51,000,56.76
2008-08-12,67.20,69.00,66.45,66.85,5809600,56.21
2008-08-11,66.15,67.95,65.55,67.40,5972400,56.67
2008-08-08,65.95,66.55,64.40,65.90,3831500,55.41
2008-08-07,65.86,65.86,65.86,65.86,000,55.37
2008-08-06,65.00,65.00,65.00,65.00,000,54.65
2008-08-05,65.00,65.95,64.25,65.00,3519100,54.65
2008-08-04,64.30,65.10,64.15,64.95,1149300,54.61
2008-08-01,64.21,64.21,64.21,64.21,000,53.99
2008-07-31,65.25,65.35,64.00,64.10,3221200,53.89
2008-07-30,64.77,64.77,64.77,64.77,000,54.46
2008-07-29,64.50,64.70,63.60,64.10,1510000,53.89
2008-07-28,64.50,65.00,63.95,64.90,3332700,54.57
2008-07-25,63.60,64.50,63.60,64.50,3785200,54.23
2008-07-24,63.20,63.60,62.90,63.35,3144200,53.26
2008-07-23,63.30,64.00,62.95,63.50,5885100,53.39
2008-07-22,63.95,64.30,63.55,63.60,2256600,53.47
2008-07-21,64.00,64.80,62.00,64.60,2752200,54.31
2008-07-18,63.10,63.70,62.95,63.10,2616900,53.05
2008-07-17,64.00,64.50,62.85,63.00,2442300,52.97
2008-07-16,62.75,63.85,62.75,63.80,2225100,53.64
2008-07-15,63.50,63.50,62.55,62.90,4512300,52.88
2008-07-14,63.20,64.90,63.00,64.25,2155100,54.02
2008-07-11,62.95,64.35,62.95,64.20,3419500,53.98
2008-07-10,63.00,63.95,62.90,63.30,2722400,53.22
2008-07-09,64.25,64.70,62.00,63.00,5364500,52.97
2008-07-08,64.40,64.70,62.55,63.25,5381500,53.18
2008-07-07,64.80,65.20,64.55,65.20,3161800,54.82
2008-07-04,66.00,66.25,65.00,65.20,3816400,54.82
2008-07-03,66.95,67.05,65.95,66.40,3232800,55.83
2008-07-02,65.10,67.20,65.10,66.50,4997400,55.91
2008-07-01,66.80,66.80,66.80,66.80,000,56.16
2008-06-30,67.00,67.00,65.70,66.80,5021100,56.16
2008-06-27,64.80,66.95,64.50,65.90,5751000,55.41
2008-06-26,68.00,68.20,66.10,66.40,3759500,55.83
2008-06-25,66.60,68.00,66.50,67.70,5175200,56.92
2008-06-24,66.30,66.60,64.60,66.50,5452200,55.91
2008-06-23,66.15,66.45,65.70,66.30,3502100,55.74
2008-06-20,64.65,66.80,64.65,65.15,5166700,54.78
2008-06-19,65.00,65.60,64.25,64.25,2649900,54.02
2008-06-18,66.35,66.35,65.45,66.10,3207500,55.58
2008-06-17,65.60,66.20,65.20,66.20,3159900,55.66
2008-06-16,64.30,66.00,64.30,66.00,3886600,55.49
2008-06-13,64.45,65.40,64.05,64.30,3016100,54.06
2008-06-12,64.60,65.20,64.10,65.00,4954900,54.65
2008-06-11,63.25,65.05,63.25,65.00,3873900,54.65
2008-06-10,64.40,65.70,63.85,64.00,4368300,53.81
2008-06-09,66.15,66.15,66.15,66.15,000,55.62
2008-06-06,67.40,67.70,66.00,66.15,3248600,55.62
2008-06-05,66.05,68.00,65.30,67.70,4844200,56.92
2008-06-04,66.25,66.50,65.00,66.05,6714300,55.53
2008-06-03,64.70,66.10,64.55,65.60,5664200,55.15
2008-06-02,66.00,66.15,64.70,64.70,18553600,54.40
2008-05-30,64.00,70.50,63.60,70.50,31400300,59.27
2008-05-29,65.00,65.00,64.00,64.70,6664100,53.96
2008-05-28,62.90,64.20,62.85,64.20,9483800,53.54
2008-05-27,61.70,63.00,61.70,62.95,5935700,52.50
2008-05-26,61.50,62.20,61.10,61.75,4557300,51.50
2008-05-23,61.80,62.00,61.40,61.50,3312800,51.29
2008-05-22,61.20,62.00,60.60,61.60,3951100,51.38
2008-05-21,60.90,62.05,60.60,61.95,3735600,51.67
2008-05-20,61.40,61.50,60.50,60.85,4881600,50.75
2008-05-19,62.00,62.25,61.35,61.55,3357700,51.33
2008-05-16,61.85,62.30,61.40,61.80,3991900,51.54
2008-05-15,62.30,62.30,60.80,61.60,2935700,51.38
2008-05-14,61.55,62.15,61.00,61.85,3957200,51.58
2008-05-13,60.40,62.10,60.30,61.90,5476900,51.63
2008-05-12,60.70,60.70,60.70,60.70,000,50.62
2008-05-09,61.10,61.10,60.00,60.70,3233600,50.62
2008-05-08,60.40,61.10,60.20,60.85,4838800,50.75
2008-05-07,60.05,61.00,59.95,60.20,6282100,50.21
2008-05-06,60.00,60.20,60.00,60.15,6875100,50.17
2008-05-05,60.95,60.95,60.00,60.40,8457700,50.37
2008-05-02,62.80,63.15,60.55,60.80,11597300,50.71
2008-05-01,61.75,61.75,61.75,61.75,000,51.50
2008-04-30,63.20,63.20,61.55,61.75,4041900,51.50
2008-04-29,61.85,63.10,61.65,62.60,5339800,52.21
2008-04-28,61.35,61.80,61.35,61.70,3161500,51.46
2008-04-25,62.00,62.55,61.30,61.35,4097200,51.17
2008-04-24,62.50,62.90,61.40,61.50,7262300,51.29
2008-04-23,63.60,64.00,62.25,62.95,5904700,52.50
2008-04-22,64.00,64.05,63.20,64.05,2782900,53.42
2008-04-21,64.70,65.00,63.85,64.50,2756300,53.79
2008-04-18,62.95,64.60,62.85,64.50,3417700,53.79
2008-04-17,63.00,64.05,62.95,63.90,3957200,53.29
2008-04-16,65.20,65.25,63.85,64.60,3839200,53.11
2008-04-15,63.90,64.80,63.50,64.80,4127700,53.27
2008-04-14,63.20,63.50,61.75,63.35,3586800,52.08
2008-04-11,62.20,63.80,62.20,63.70,4150400,52.37
2008-04-10,62.35,63.40,62.35,62.55,2904100,51.42
2008-04-09,62.00,62.80,61.70,62.50,3443800,51.38
2008-04-08,60.25,61.90,60.25,61.65,3380000,50.68
2008-04-07,61.05,61.70,61.00,61.10,6015800,50.23
2008-04-04,62.00,62.00,62.00,62.00,000,50.97
2008-04-03,62.00,62.90,61.75,62.00,5476000,50.97
2008-04-02,63.95,64.10,61.80,62.25,7319300,51.18
2008-04-01,62.50,63.40,62.30,63.20,4961900,51.96
2008-03-31,64.00,64.40,63.20,64.05,4568100,52.66
2008-03-28,64.50,64.80,63.05,64.35,6223900,52.90
2008-03-27,64.40,64.90,63.70,64.45,2415900,52.99
2008-03-26,63.40,65.00,63.40,64.95,4461900,53.40
2008-03-25,63.35,64.95,62.25,64.30,5445100,52.86
2008-03-24,63.35,63.35,63.35,63.35,000,52.08
2008-03-21,63.35,63.35,63.35,63.35,000,52.08
2008-03-20,62.30,63.60,62.20,63.35,5110700,52.08
2008-03-19,65.00,65.20,62.15,63.85,9551100,52.49
2008-03-18,65.50,65.50,63.80,65.50,7850000,53.85
2008-03-17,64.20,65.50,62.80,65.45,12060100,53.81
2008-03-14,63.50,64.60,63.50,64.60,10345100,53.11
2008-03-13,61.20,63.60,61.05,63.20,7982500,51.96
2008-03-12,63.60,63.60,61.05,62.80,6448400,51.63
2008-03-11,61.30,62.90,60.70,62.80,12159300,51.63
2008-03-10,57.00,61.00,57.00,60.90,10993700,50.07
2008-03-07,57.50,58.50,57.00,57.05,6457600,46.90
2008-03-06,58.50,59.10,58.20,58.40,5626600,48.01
2008-03-05,57.50,59.45,57.50,59.00,5380200,48.51
2008-03-04,59.50,59.90,57.90,58.00,9297100,47.68
2008-03-03,60.85,60.85,59.50,60.05,6001700,49.37
